Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
AKAZE;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;1230.85;386.65;850.04;1.00;1.00;true;809.17;269.23;573.38;1227.76;385.83;847.68;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;465.38;167.24;307.98;binary;;binary;4.56;3.07;3.25;0.03;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;1249.98;380.05;876.50;0.64;0.64;true;783.53;241.28;571.42;1246.84;379.02;874.15;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;6.00;16.00;146.00;6.00;145.00;456.12;158.76;307.30;binary;;binary;48.47;22.95;27.90;0.03;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;993.76;429.09;577.52;0.00;0.00;false;569.98;309.35;365.07;992.68;430.09;575.41;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;0.00;15.00;146.00;0.00;146.00;376.76;214.26;333.98;binary;;binary;3.57;2.62;1.93;0.03;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;826.14;234.99;601.34;0.00;0.00;false;367.25;110.15;273.88;823.23;234.18;599.26;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;14.50;3.50;14.00;146.50;3.50;147.00;436.98;138.77;303.20;binary;;binary;32.11;7.93;25.46;1.15;1.14;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;828.53;268.93;584.12;0.00;0.00;false;406.33;150.07;277.60;825.77;268.19;581.92;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;12.00;0.00;12.00;149.00;0.00;149.00;433.69;135.22;303.62;binary;;binary;4.04;2.56;2.58;1.58;1.57;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;841.33;251.57;598.55;0.00;0.00;false;372.91;118.90;281.07;838.54;250.82;596.41;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;5.00;12.00;146.00;5.00;149.00;442.56;145.03;305.71;binary;;binary;46.62;21.46;26.60;0.02;0.01;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;827.41;274.14;570.87;0.00;0.00;false;378.80;124.29;275.78;824.42;273.49;569.9;76.00;0.00;76.00;109.00;0.00;109.00;109.00;0.00;109.00;109.00;0.00;109.00;13.00;0.00;13.00;96.00;0.00;96.00;453.30;161.58;298.25;binary;;binary;2.36;1.69;1.05;0.04;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;761.67;420.1;576.35;0.00;0.00;false;412.37;157.76;273.62;758.90;419.35;574.31;76.00;0.00;76.00;109.00;0.00;109.00;109.00;0.00;109.00;109.00;0.00;109.00;25.50;11.50;26.00;83.50;11.50;83.00;346.23;286.84;294.47;binary;;binary;32.17;17.04;16.92;0.03;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;ORB;;BF;;336x252;;336x252;305x229;;305x229;834.80;262.41;585.3;0.00;0.00;false;397.08;128.65;289.16;831.90;261.64;583.13;154.00;0.00;154.00;157.00;0.00;157.00;157.00;0.00;157.00;157.00;0.00;157.00;11.00;0.00;11.00;146.00;0.00;146.00;442.86;144.69;305.24;binary;;binary;2.80;1.89;1.59;0.09;0.08;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;881.79;280.25;605.01;0.00;0.00;false;409.77;136.13;292.25;878.88;279.37;602.83;154.00;0.00;154.00;157.00;0.00;157.00;157.00;0.00;157.00;157.00;0.00;157.00;16.50;6.50;15.00;140.50;6.50;142.00;459.72;162.85;316.12;binary;;binary;46.80;23.65;25.88;0.03;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
