Detector;Extractor;Matcher;InputResolution;ProcessingResolution;DisplayFunction(ms);ObjectFound;AnalyzeSceneFrame(ms);AnalyzerProcess(ms);SceneKeypoints;ObjectKeypoints;GoodSceneKeypoints;GoodTrainKeypoints;Inliers;Outliers;InliersCalc(ms);DescriptorType;MatchingDescriptors(ms);PerspectiveTransform(ms);TrackerInitialize(ms);TrackerCorners;isInImage;isObjectInsideImage(ms);TrackingProcess(ms);Deviation;
SIFT;SIFT;BF;336x252;305x229;1014.95;true;934.478;1011.58;400;400;47;47;28;19;25.679;float;50.956;0.141;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;938.928;true;880.517;936.712;400;400;47;47;28;19;9.182;float;46.627;0.011;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;914.839;true;850.586;912.55;400;400;47;47;28;19;9.133;float;52.536;0.014;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;897.691;true;839.682;895.386;400;400;47;47;28;19;8.989;float;46.237;0.01;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;913.582;true;845.865;911.387;400;400;47;47;28;19;9.008;float;56.271;0.011;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;909.782;true;840.22;907.489;400;400;47;47;28;19;9.12;float;57.902;0.011;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;926.799;true;841.105;924.575;400;400;47;47;28;19;9.086;float;74.119;0.02;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;907.932;true;847.592;905.607;400;400;47;47;28;19;11.075;float;46.685;0.012;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;1007.88;true;949.043;1004.47;400;400;47;47;28;19;9.205;float;45.884;0.02;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;951.137;true;875.425;948.879;400;400;47;47;28;19;9.371;float;63.828;0.012;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;942.926;true;880.592;940.489;400;400;47;47;28;19;11.006;float;48.658;0.012;0;0;nill;0;0;10;
