Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
AKAZE;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;813.41;133.01;748.42;1.00;1.00;true;487.25;87.86;441.60;810.46;133.04;746.60;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;327.03;72.37;299.51;binary;;binary;10.66;6.45;5.90;0.67;0.64;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;863.89;165.06;732.95;0.72;0.72;true;507.34;109.71;417.43;861.78;165.25;731.23;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;6.00;16.00;146.00;6.00;145.00;335.92;66.10;285.64;binary;;binary;31.87;11.56;23.12;0.08;0.08;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;618.48;299.52;840.90;0.00;0.00;false;260.92;125.00;346.27;614.82;297.12;837.57;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;0.00;15.00;146.00;0.00;146.00;355.83;181.39;481.22;binary;;binary;6.84;5.05;4.7;1.09;1.06;0.05;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;562.27;84.70;518.46;0.00;0.00;false;249.40;56.26;205.71;560.37;84.71;516.62;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;18.00;6.00;14.00;143.00;6.00;147.00;320.82;63.86;288.11;binary;;binary;32.15;12.72;21.80;0.74;0.71;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;592.44;129.26;514.81;0.00;0.00;false;242.88;55.87;207.49;590.01;128.59;510.72;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;12.00;0.00;12.00;149.00;0.00;149.00;338.48;79.11;296.21;binary;;binary;10.49;6.17;6.03;0.22;0.19;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;552.55;94.03;525.25;0.00;0.00;false;222.85;37.29;206.01;550.87;94.16;520.69;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;16.00;6.00;12.00;145.00;6.00;149.00;335.39;86.71;287.02;binary;;binary;27.58;10.17;20.98;0.11;0.08;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;539.50;89.68;495.47;0.00;0.00;false;228.54;40.72;209.06;537.48;89.46;493.63;76.00;0.00;76.00;109.00;0.00;109.00;109.00;0.00;109.00;109.00;0.00;109.00;13.00;0.00;13.00;96.00;0.00;96.00;302.37;52.23;284.17;binary;;binary;4.99;3.45;2.36;0.19;0.16;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;481.02;220.23;469.06;0.00;0.00;false;235.46;49.29;194.93;477.32;218.22;466.97;76.00;0.00;76.00;109.00;0.00;109.00;109.00;0.00;109.00;109.00;0.00;109.00;26.50;10.50;26.00;82.50;10.50;83.00;220.56;171.37;262.54;binary;;binary;15.71;5.52;14.67;0.14;0.11;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;ORB;;BF;;336x252;;336x252;305x229;;305x229;881.62;128.87;960.35;0.00;0.00;false;399.44;68.03;426.47;876.21;131.78;956.87;154.00;0.00;154.00;157.00;0.00;157.00;157.00;0.00;157.00;157.00;0.00;157.00;11.00;0.00;11.00;146.00;0.00;146.00;481.87;79.07;519.84;binary;;binary;9.81;5.87;5.23;0.36;0.32;0.05;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;635.83;109.51;542.67;0.00;0.00;false;283.28;55.33;237.11;632.04;107.26;540.37;154.00;0.00;154.00;157.00;0.00;157.00;157.00;0.00;157.00;157.00;0.00;157.00;16.00;6.00;15.00;141.00;6.00;142.00;333.76;72.79;280.89;binary;;binary;30.53;11.33;22.53;0.10;0.07;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
