ID;Konfiguration;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median
1;ORB-BRISK-BF;336x252;;336x252;305x229;;305x229;236.18;23.75;232.98;1.00;1.00;true;24.61;10.85;18.53;234.56;23.83;231.19;203.00;0.00;203.00;272.00;0.00;272.00;272.00;0.00;272.00;272.00;0.00;272.00;36.00;0.00;36.00;236.00;0.00;236.00;200.68;14.49;202.12;binary;;binary;11.78;5.12;6.99;0.07;0.05;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
2;FAST-AKAZE-BF;336x252;;336x252;305x229;;305x229;369.69;37.02;349.84;1.00;1.00;true;178.73;27.21;158.26;368.11;37.04;346.83;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;189.83;18.03;182.40;binary;;binary;7.19;4.19;4.22;0.11;0.08;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
3;ORB-AKAZE-BF;336x252;;336x252;305x229;;305x229;365.90;8.86;366.94;1.00;1.00;true;172.53;7.45;172.28;363.75;9.80;365.21;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;186.60;7.93;188.29;binary;;binary;5.23;2.24;3.95;0.10;0.08;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
4;GFTT-AKAZE-BF;336x252;;336x252;305x229;;305x229;443.20;97.77;367.88;1.00;1.00;true;211.72;45.90;175.72;441.43;97.87;366.53;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;226.10;54.82;183.65;binary;;binary;9.10;6.09;4.08;0.08;0.06;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
5;BRISK-AKAZE-BF;336x252;;336x252;305x229;;305x229;389.16;36.67;374.99;1.00;1.00;true;192.47;23.87;178.82;387.35;36.37;373.41;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;200.53;28.03;187.87;binary;;binary;7.9;4.92;3.97;0.09;0.07;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
6;ORB-ORB-BF;336x252;;336x252;305x229;;305x229;563.83;113.21;522.20;1.00;1.00;true;183.17;42.30;158.12;561.35;112.95;518.62;430.00;0.00;430.00;463.00;0.00;463.00;463.00;0.00;463.00;463.00;0.00;463.00;40.00;0.00;40.00;423.00;0.00;423.00;356.74;70.89;332.43;binary;;binary;33.24;14.94;24.26;0.30;0.27;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
7;MSER-AKAZE-BF;336x252;;336x252;305x229;;305x229;671.14;139.19;576.47;1.00;1.00;true;355.08;81.00;288.85;669.13;139.02;574.64;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;325.77;74.60;281.04;binary;;binary;9.62;5.41;5.86;1.24;1.21;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
8;SURF-AKAZE-BF;336x252;;336x252;305x229;;305x229;628.49;48.86;596.05;1.00;1.00;true;417.48;22.66;409.07;626.98;48.82;594.57;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;201.60;29.37;180.29;binary;;binary;5.26;2.27;3.60;0.06;0.04;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
9;SIFT-AKAZE-BF;336x252;;336x252;305x229;;305x229;671.64;80.49;651.60;1.00;1.00;true;471.81;67.96;447.10;670.04;80.64;650.12;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;234.01;62.55;186.17;binary;;binary;7.02;4.02;3.98;0.11;0.08;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
10;AKAZE-AKAZE-BF;336x252;;336x252;305x229;;305x229;813.41;133.01;748.42;1.00;1.00;true;487.25;87.86;441.60;810.46;133.04;746.60;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;327.03;72.37;299.51;binary;;binary;10.66;6.45;5.90;0.67;0.64;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
11;SIFT-SIFT-BF;336x252;;336x252;305x229;;305x229;831.11;145.47;755.89;1.00;1.00;true;740.66;141.35;666.44;829.76;145.35;754.60;400.00;0.00;400.00;400.00;0.00;400.00;47.00;0.00;47.00;47.00;0.00;47.00;28.00;0.00;28.00;19.00;0.00;19.00;13.28;8.89;4.99;float;;float;105.46;37.63;76.20;0.10;0.08;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
12;DENSE-AKAZE-BF;336x252;;336x252;305x229;;305x229;887.72;38.42;889.45;1.00;1.00;true;394.74;26.68;387.41;882.00;39.49;885.83;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;481.72;36.62;482.46;binary;;binary;14.00;6.88;7.19;1.10;1.05;0.05;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
13;STAR-AKAZE-BF;336x252;;336x252;305x229;;305x229;859.79;140.42;917.76;1.00;1.00;true;389.98;63.91;417.19;857.16;140.15;916.74;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;459.21;91.55;486.52;binary;;binary;12.05;6.16;6.05;0.16;0.12;0.05;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
14;SIFT-SIFT-Flann;336x252;;336x252;305x229;;305x229;932.35;275.71;1074.16;1.00;1.00;true;875.74;264.12;920.87;930;275.06;1081.81;400.00;0.00;400.00;400.00;0.00;400.00;49.50;3.50;49.00;49.50;3.50;49.00;28.50;1.50;29.00;21.00;5.00;20.00;12.59;9.63;5.48;float;;float;81.6;46.74;52.94;0.61;0.58;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
15;SURF-SURF-Flann;336x252;;336x252;305x229;;305x229;1174.80;19.03;1172.29;0.61;0.61;true;1136.85;20.19;1134.60;1172.50;18.60;1169.12;166.00;0.00;166.00;213.00;0.00;213.00;15.00;2.00;15.00;15.00;2.00;15.00;10.50;1.50;12.00;5.00;2.00;5.00;7.28;4.5;4.95;float;;float;29.53;4.43;28.95;0.15;0.15;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
16;SURF-SIFT-BF;336x252;;336x252;305x229;;305x229;2026.75;249.22;1928.47;1.00;1.00;true;1968.33;247.05;1873.65;2024.66;249.32;1926.67;166.00;0.00;166.00;213.00;0.00;213.00;44.00;0.00;44.00;44.00;0.00;44.00;18.00;0.00;18.00;26.00;0.00;26.00;31.65;8.92;26.91;float;;float;41.34;19.49;28.45;0.08;0.05;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
17;ORB-SURF-BF;336x252;;336x252;305x229;;305x229;2667.11;330.01;2742.64;1.00;1.00;true;2560.32;320.15;2619.49;2665.1;329.65;2740.51;430.00;0.00;430.00;463.00;0.00;463.00;20.00;0.00;20.00;20.00;0.00;20.00;15.00;0.00;15.00;5.00;0.00;5.00;4.13;2.17;2.64;float;;float;121.07;32.66;115.30;0.05;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
