Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
AKAZE;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;94.89;7.59;89.92;1.00;1.00;true;48.07;5.04;44.66;94.62;7.59;89.65;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.50;2.88;42.08;binary;;binary;1.98;0.57;2.47;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;90.72;4.09;89.14;0.86;0.86;true;46.57;3.74;44.56;90.45;4.09;88.90;157.00;0.00;157.00;161.00;0.00;161.00;131.50;15.50;136.00;131.50;15.50;136.00;18.00;9.00;18.00;115.00;19.00;118.00;44.09;2.86;41.59;binary;;binary;3.24;1.27;2.05;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;64.05;2.69;63.21;0.00;0.00;false;20.30;2.21;18.71;63.80;2.68;62.97;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;0.00;15.00;146.00;0.00;146.00;43.5;1.87;42.54;binary;;binary;1.27;0.25;1.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;66.69;4.68;63.52;0.00;0.00;false;20.91;2.78;18.66;66.45;4.68;63.27;157.00;0.00;157.00;161.00;0.00;161.00;139.00;10.00;141.00;139.00;10.00;141.00;14.00;3.00;14.00;127.00;9.00;127.00;45.02;3.70;41.85;binary;;binary;2.96;1.07;2.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;66.07;2.78;65.34;0.00;0.00;false;20.36;2.09;19.24;65.82;2.78;65.09;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;12.00;0.00;12.00;149.00;0.00;149.00;44.00;2.29;42.98;binary;;binary;2.58;0.60;2.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;65.38;3.89;63.36;0.00;0.00;false;20.39;2.12;18.62;65.15;3.88;63.12;157.00;0.00;157.00;161.00;0.00;161.00;137.00;11.00;137.00;137.00;11.00;137.00;12.50;3.50;11.00;126.00;12.00;125.00;44.70;3.65;41.62;binary;;binary;3.39;1.49;2.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;68.49;8.33;62.54;0.00;0.00;false;22.52;4.68;18.42;68.25;8.33;62.30;76.00;0.00;76.00;109.00;0.00;109.00;109.00;0.00;109.00;109.00;0.00;109.00;13.00;0.00;13.00;96.00;0.00;96.00;48.39;7.15;41.98;binary;;binary;0.87;0.28;0.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;62;3.25;61.45;0.02;0.02;false;19.57;1.72;18.07;61.74;3.24;61.17;76.00;0.00;76.00;109.00;0.00;109.00;68.00;15.00;69.00;68.00;15.00;69.00;12.00;3.00;12.00;55.50;14.50;57.00;42.35;3.16;41.26;binary;;binary;2.01;0.82;1.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;ORB;;BF;;336x252;;336x252;305x229;;305x229;67.49;5.73;64.18;0.00;0.00;false;22.64;3.97;19.51;67.25;5.73;63.94;154.00;0.00;154.00;157.00;0.00;157.00;157.00;0.00;157.00;157.00;0.00;157.00;11.00;0.00;11.00;146.00;0.00;146.00;44.51;2.78;43.02;binary;;binary;1.17;0.29;1.08;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
AKAZE;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;67.73;5.59;63.76;0.00;0.00;false;21.43;2.83;18.94;67.48;5.58;63.51;154.00;0.00;154.00;157.00;0.00;157.00;126.50;10.50;128.00;126.50;10.50;128.00;13.50;3.50;12.00;115.00;11.00;116.00;46.35;5.12;41.62;binary;;binary;2.70;0.84;1.95;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
