Detector;Extractor;Matcher;InputResolution;ProcessingResolution;DisplayFunction(ms);ObjectFound;AnalyzeSceneFrame(ms);AnalyzerProcess(ms);SceneKeypoints;ObjectKeypoints;GoodSceneKeypoints;GoodTrainKeypoints;Inliers;Outliers;InliersCalc(ms);DescriptorType;MatchingDescriptors(ms);PerspectiveTransform(ms);TrackerInitialize(ms);TrackerCorners;isInImage;isObjectInsideImage(ms);TrackingProcess(ms);Deviation;
SIFT;SIFT;BF;336x252;305x229;110.732;true;97.196;110.096;400;400;47;47;29;18;1.67;float;11.095;0.007;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;84.614;true;74.479;84.217;400;400;47;47;29;18;1.068;float;8.58;0.003;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;87.994;true;76.249;87.717;400;400;47;47;29;18;1.457;float;9.929;0.003;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;95.263;true;83.511;94.94;400;400;47;47;29;18;1.608;float;9.73;0.004;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;83.03;true;70.626;82.615;400;400;47;47;29;18;1.217;float;10.655;0.002;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;86.447;true;75.074;86.144;400;400;47;47;29;18;1.581;float;9.356;0.004;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;107.986;true;96.107;107.549;400;400;47;47;29;18;1.615;float;9.73;0.004;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;79.223;true;68.862;78.838;400;400;47;47;29;18;1.046;float;8.833;0.003;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;96.811;true;84.729;96.398;400;400;47;47;29;18;1.566;float;10.012;0.003;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;81.177;true;73.245;80.794;400;400;47;47;29;18;1.246;float;6.231;0.002;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;76.728;true;66.695;76.43;400;400;47;47;29;18;1.12;float;8.507;0.002;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;78.979;true;67.63;78.668;400;400;47;47;29;18;1.781;float;9.122;0.004;0;0;nill;0;0;10;
SIFT;SIFT;BF;336x252;305x229;81.254;true;70.717;80.813;400;400;47;47;29;18;1.513;float;8.487;0.009;0;0;nill;0;0;10;
